interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi,nb_pieces_outlier,score_actifs,index_richesse_pca,quintile_richesse,nb_sources_revenu,eau_amelioree,cm_sexe,cm_age,cm_scolarise,cm_niveau_etudes,cm_occupation,nb_chocs
79-07-36-16,ZIGUINCHOR,ZIGUINCHOR,1,4,1,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,FALSE,3,0.0982090047563736,4,1,0,1,65,1,2,8,3
83-28-94-93,ZIGUINCHOR,ZIGUINCHOR,1,3,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,5,5,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,1,FALSE,5,2.264982687010752,5,1,0,1,60,1,1,8,2
94-56-92-17,KAFFRINE,MALEM HODDA,1,3,1,8,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,5,1.6715872506909202,5,1,1,1,42,2,NA,9,2
36-47-81-09,ZIGUINCHOR,ZIGUINCHOR,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,FALSE,1,-0.991607934532062,1,1,0,1,81,2,NA,8,0
88-94-07-81,ZIGUINCHOR,ZIGUINCHOR,1,3,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,FALSE,1,-0.991607934532062,1,1,0,1,61,1,1,8,0
06-32-97-92,LOUGA,LINGUERE,1,2,1,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,FALSE,3,-0.147454651344273,4,1,1,1,72,2,NA,9,1
70-51-94-31,THIES,TIVAOUANE,1,1,1,10,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,FALSE,3,1.3757060062463136,5,1,1,1,76,2,NA,0,0
27-55-23-42,KOLDA,MEDINA YORO,1,3,1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,3,0.4024828057550592,5,1,0,1,48,2,NA,8,0
34-38-15-44,THIES,TIVAOUANE,1,3,1,7,2,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,FALSE,5,2.675323362342157,5,1,1,1,56,2,NA,8,1
29-99-82-36,TAMBACOUNDA,TAMBACOUNDA,1,4,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,60,2,NA,0,2
67-77-81-81,THIES,TIVAOUANE,1,1,1,8,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,FALSE,4,1.2002294998197112,5,1,1,1,63,2,NA,0,0
36-94-12-67,THIES,TIVAOUANE,1,3,1,4,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,4,1.2002294998197112,5,1,1,2,69,2,NA,9,1
64-78-61-52,TAMBACOUNDA,TAMBACOUNDA,1,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,65,2,NA,0,2
83-69-70-79,KAFFRINE,MALEM HODDA,1,1,1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,FALSE,2,-0.7216681934375103,3,1,1,1,55,2,NA,12,0
53-33-49-68,THIES,TIVAOUANE,1,1,1,6,2,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,6,5.097830164027373,5,1,1,2,61,2,NA,10,1
47-56-91-99,THIES,TIVAOUANE,1,1,1,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,3,0.9302897587251596,5,1,1,1,47,2,NA,9,0
68-22-45-45,TAMBACOUNDA,TAMBACOUNDA,1,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,-0.8161314281054596,2,1,0,1,58,2,NA,0,2
76-44-45-16,THIES,TIVAOUANE,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,0,-0.8161314281054596,2,1,1,1,39,2,NA,8,0
45-71-20-96,KOLDA,VELINGARA,1,4,3,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,3,-0.2960102862746618,4,1,0,1,48,2,NA,8,2
36-88-01-27,SEDHIOU,BOUNKILING,1,3,1,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,FALSE,1,-0.991607934532062,1,1,1,1,61,1,2,8,0
56-66-20-77,LOUGA,LINGUERE,1,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,0,-0.8161314281054596,2,1,1,1,55,2,NA,9,1
44-10-80-33,TAMBACOUNDA,GOUDIRY,1,3,4,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,2,-0.41739439243882454,3,1,0,1,49,2,NA,0,1
00-97-03-03,KOLDA,VELINGARA,1,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,3,-0.2960102862746618,4,1,0,1,55,2,NA,8,2
89-71-21-00,SEDHIOU,BOUNKILING,1,3,1,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,3,0.0982090047563736,4,1,0,1,51,1,1,8,0
28-21-08-98,LOUGA,LINGUERE,1,4,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,FALSE,2,-0.7216681934375103,3,1,1,1,77,2,NA,9,0
56-84-35-38,SEDHIOU,BOUNKILING,1,3,1,6,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,4,0.2195931109205364,4,1,0,2,50,2,NA,9,0
24-34-31-41,KOLDA,KOLDA,1,3,3,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,5,5,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,FALSE,4,0.6724225468496109,5,1,0,2,40,2,NA,8,3
63-27-78-81,KOLDA,VELINGARA,1,4,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,3,-0.2960102862746618,4,1,0,1,60,2,NA,0,2
55-04-49-05,SEDHIOU,BOUNKILING,1,3,1,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,FALSE,4,1.2002294998197112,5,1,1,1,57,1,1,8,0
90-45-66-67,KOLDA,KOLDA,1,3,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,FALSE,2,-0.7216681934375103,3,1,0,1,85,2,NA,0,3
40-65-91-21,LOUGA,LINGUERE,1,2,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,FALSE,2,-0.7216681934375103,3,1,1,1,39,2,NA,9,0
53-18-59-86,SEDHIOU,BOUNKILING,1,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2,-0.8702238283678991,2,1,0,1,54,2,NA,8,0
82-90-15-29,KOLDA,KOLDA,1,3,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,2,FALSE,3,-0.6002840872733476,3,1,0,1,66,2,NA,8,0
43-50-38-25,KOLDA,VELINGARA,1,4,2,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,4,-0.02607054518011027,4,1,0,1,53,2,NA,0,2
75-54-80-69,TAMBACOUNDA,TAMBACOUNDA,1,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,58,2,NA,8,2
12-72-92-97,TAMBACOUNDA,GOUDIRY,1,4,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,1,2,22,2,NA,0,2
34-21-74-96,KOLDA,VELINGARA,1,4,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,3,-0.6002840872733476,3,1,0,1,86,2,NA,8,2
79-01-55-32,THIES,TIVAOUANE,1,3,1,8,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,FALSE,5,2.572467571120128,5,1,1,1,89,2,NA,0,0
78-12-85-56,LOUGA,KEBEMER,1,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,1,-0.991607934532062,1,1,1,1,31,2,NA,8,0
22-97-00-46,THIES,TIVAOUANE,1,3,1,1,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,FALSE,4,1.2002294998197112,5,1,1,1,42,1,4,9,0
96-24-70-79,SEDHIOU,BOUNKILING,1,3,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,FALSE,2,-0.7216681934375103,3,1,1,1,40,2,NA,8,3
59-10-34-48,TAMBACOUNDA,TAMBACOUNDA,1,4,3,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,60,2,NA,0,1
44-14-98-31,KOLDA,MEDINA YORO,1,4,6,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,FALSE,2,-0.7216681934375103,3,1,0,1,44,2,NA,8,3
66-94-06-72,KOLDA,VELINGARA,1,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,2,-0.8702238283678991,2,1,0,1,70,2,NA,0,3
23-05-27-15,ZIGUINCHOR,ZIGUINCHOR,1,2,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,FALSE,3,-0.6002840872733476,3,1,0,1,61,1,1,8,0
27-62-77-08,KOLDA,KOLDA,1,4,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,1,-0.991607934532062,1,1,0,1,57,2,NA,0,0
16-65-25-84,TAMBACOUNDA,GOUDIRY,1,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,51,2,NA,8,1
00-94-99-40,ZIGUINCHOR,ZIGUINCHOR,1,4,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,FALSE,3,-0.6002840872733476,3,1,0,1,43,1,1,8,0
04-48-99-23,LOUGA,KEBEMER,1,4,6,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,2,FALSE,2,-0.7216681934375103,3,1,1,1,56,2,NA,8,0
41-64-54-12,KOLDA,VELINGARA,1,3,1,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,2,-0.41739439243882454,3,1,0,2,60,2,NA,0,2
59-64-06-62,ZIGUINCHOR,ZIGUINCHOR,1,2,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,FALSE,2,0.02802185508232933,4,1,0,1,52,1,2,8,1
69-01-73-60,KOLDA,KOLDA,1,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,2,-0.8702238283678991,2,1,0,2,49,2,NA,0,1
54-76-02-03,ZIGUINCHOR,BIGNONA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,-0.7216681934375103,3,0,0,NA,NA,NA,NA,NA,0
54-71-15-98,ZIGUINCHOR,ZIGUINCHOR,1,2,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,FALSE,1,-0.991607934532062,1,1,0,1,57,1,1,8,2
45-90-17-41,TAMBACOUNDA,TAMBACOUNDA,1,4,3,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,69,2,NA,0,2
42-19-82-14,KOLDA,VELINGARA,1,3,1,7,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,4,0.5238669119192219,5,1,0,1,42,2,NA,8,2
06-79-59-00,KAFFRINE,BIRKELANE,1,3,1,10,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,FALSE,3,0.9302897587251596,5,1,1,1,82,2,NA,0,0
76-16-29-34,ZIGUINCHOR,OUSSOUYE,1,3,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,FALSE,1,0.0037457700884242,4,1,0,2,58,2,NA,8,2
95-14-09-44,KOLDA,VELINGARA,1,4,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,60,2,NA,0,2
61-58-54-69,KOLDA,KOLDA,1,3,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,2,-0.8702238283678991,2,1,0,1,33,1,1,8,3
56-39-00-76,KAFFRINE,BIRKELANE,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,FALSE,1,-0.991607934532062,1,1,1,1,39,2,NA,8,3
