interview__key,region,milieu,score_actifs,asset_any_na
25-52-48-75,FATICK,1,1,0
91-54-06-17,KOLDA,1,3,0
04-09-28-68,ZIGUINCHOR,1,3,0
12-87-91-43,ZIGUINCHOR,1,2,0
88-50-30-12,SAINT LOUIS,1,1,0
66-47-94-07,KOLDA,1,1,0
05-42-56-82,THIES,1,1,0
85-95-83-84,LOUGA,1,3,0
99-65-78-34,ZIGUINCHOR,1,1,0
24-54-99-98,KOLDA,1,1,0
94-33-81-05,ZIGUINCHOR,1,0,0
67-92-42-84,ZIGUINCHOR,1,2,0
63-14-10-20,THIES,1,3,0
54-44-37-25,SEDHIOU,1,4,0
63-94-63-41,KOLDA,1,2,0
14-42-79-74,ZIGUINCHOR,1,2,0
01-24-45-92,KOLDA,1,2,0
68-90-04-20,MATAM,NA,0,1
91-37-46-77,ZIGUINCHOR,1,3,0
70-86-53-11,KOLDA,1,5,0
04-10-86-90,THIES,1,5,0
01-37-46-19,ZIGUINCHOR,1,1,0
74-86-37-59,LOUGA,1,2,0
67-51-37-33,SEDHIOU,1,4,0
69-65-30-82,KOLDA,1,2,0
70-97-50-35,ZIGUINCHOR,1,1,0
83-24-80-55,ZIGUINCHOR,1,1,0
45-74-61-85,KOLDA,1,3,0
71-72-76-21,ZIGUINCHOR,1,1,0
77-91-50-06,KOLDA,1,3,0
50-05-06-41,ZIGUINCHOR,1,4,0
59-95-30-21,TAMBACOUNDA,1,1,0
16-78-20-34,LOUGA,1,1,0
79-07-36-16,ZIGUINCHOR,1,3,0
83-28-94-93,ZIGUINCHOR,1,5,0
94-56-92-17,KAFFRINE,1,5,0
36-47-81-09,ZIGUINCHOR,1,1,0
88-94-07-81,ZIGUINCHOR,1,1,0
06-32-97-92,LOUGA,1,3,0
70-51-94-31,THIES,1,3,0
27-55-23-42,KOLDA,1,3,0
34-38-15-44,THIES,1,5,0
29-99-82-36,TAMBACOUNDA,1,1,0
67-77-81-81,THIES,1,4,0
36-94-12-67,THIES,1,4,0
64-78-61-52,TAMBACOUNDA,1,1,0
83-69-70-79,KAFFRINE,1,2,0
53-33-49-68,THIES,1,6,0
47-56-91-99,THIES,1,3,0
68-22-45-45,TAMBACOUNDA,1,0,0
76-44-45-16,THIES,1,0,0
45-71-20-96,KOLDA,1,3,0
36-88-01-27,SEDHIOU,1,1,0
56-66-20-77,LOUGA,1,0,0
44-10-80-33,TAMBACOUNDA,1,2,0
00-97-03-03,KOLDA,1,3,0
89-71-21-00,SEDHIOU,1,3,0
28-21-08-98,LOUGA,1,2,0
56-84-35-38,SEDHIOU,1,4,0
24-34-31-41,KOLDA,1,4,0
63-27-78-81,KOLDA,1,3,0
55-04-49-05,SEDHIOU,1,4,0
90-45-66-67,KOLDA,1,2,0
40-65-91-21,LOUGA,1,2,0
53-18-59-86,SEDHIOU,1,2,0
82-90-15-29,KOLDA,1,3,0
43-50-38-25,KOLDA,1,4,0
75-54-80-69,TAMBACOUNDA,1,1,0
12-72-92-97,TAMBACOUNDA,1,1,0
34-21-74-96,KOLDA,1,3,0
79-01-55-32,THIES,1,5,0
78-12-85-56,LOUGA,1,1,0
22-97-00-46,THIES,1,4,0
96-24-70-79,SEDHIOU,1,2,0
59-10-34-48,TAMBACOUNDA,1,1,0
44-14-98-31,KOLDA,1,2,0
66-94-06-72,KOLDA,1,2,0
23-05-27-15,ZIGUINCHOR,1,3,0
27-62-77-08,KOLDA,1,1,0
16-65-25-84,TAMBACOUNDA,1,1,0
00-94-99-40,ZIGUINCHOR,1,3,0
04-48-99-23,LOUGA,1,2,0
41-64-54-12,KOLDA,1,2,0
59-64-06-62,ZIGUINCHOR,1,2,0
69-01-73-60,KOLDA,1,2,0
54-76-02-03,ZIGUINCHOR,1,0,1
54-71-15-98,ZIGUINCHOR,1,1,0
45-90-17-41,TAMBACOUNDA,1,1,0
42-19-82-14,KOLDA,1,4,0
06-79-59-00,KAFFRINE,1,3,0
76-16-29-34,ZIGUINCHOR,1,1,0
95-14-09-44,KOLDA,1,1,0
61-58-54-69,KOLDA,1,2,0
56-39-00-76,KAFFRINE,1,1,0
65-84-57-32,KOLDA,1,2,0
35-64-93-47,KAFFRINE,1,1,0
97-95-35-47,KOLDA,1,3,0
82-77-05-61,THIES,NA,0,0
28-86-25-74,THIES,1,10,0
14-45-30-72,KOLDA,1,1,0
15-28-41-38,KOLDA,1,4,0
23-40-44-01,SEDHIOU,1,3,0
19-03-68-38,KOLDA,1,2,0
46-86-95-96,THIES,1,7,0
19-72-66-49,SEDHIOU,1,3,0
24-52-83-31,THIES,1,4,0
75-40-31-39,THIES,1,4,0
41-23-08-45,LOUGA,1,2,0
37-46-73-37,THIES,1,3,0
21-05-86-47,KOLDA,1,3,0
96-52-27-12,THIES,1,3,0
08-81-70-37,KOLDA,1,3,0
23-74-12-92,KOLDA,1,2,0
15-26-37-85,THIES,1,4,0
48-55-23-86,KOLDA,1,1,0
06-00-75-74,LOUGA,1,0,0
15-97-14-88,KOLDA,1,1,0
88-73-05-25,KOLDA,1,4,0
32-65-02-68,KOLDA,1,2,0
63-79-64-84,SEDHIOU,1,5,0
58-98-99-29,LOUGA,1,1,0
30-97-98-79,KOLDA,1,1,0
07-27-35-02,KOLDA,1,5,0
18-36-08-13,KOLDA,1,4,0
99-27-87-69,KOLDA,1,3,0
51-71-19-35,KOLDA,1,1,0
77-50-38-03,KOLDA,1,2,0
69-93-92-16,KOLDA,1,1,0
40-28-45-62,KOLDA,1,2,0
75-78-72-72,KOLDA,1,1,0
04-30-53-80,LOUGA,1,0,0
33-43-35-57,LOUGA,1,2,0
82-92-69-70,KOLDA,2,2,0
78-56-49-03,LOUGA,1,1,0
26-39-80-91,KOLDA,1,2,0
12-16-09-34,KOLDA,1,5,0
73-73-80-88,KOLDA,2,2,0
00-85-95-23,KOLDA,1,2,0
74-11-00-37,KOLDA,1,1,0
95-34-71-69,LOUGA,1,2,0
21-24-61-00,ZIGUINCHOR,1,1,0
65-74-76-31,KOLDA,1,2,0
07-96-45-77,THIES,1,2,0
36-27-07-25,LOUGA,1,2,0
21-65-54-50,ZIGUINCHOR,1,3,0
73-91-20-65,LOUGA,1,2,0
46-45-32-95,KOLDA,1,2,0
97-14-51-92,ZIGUINCHOR,1,5,0
46-77-35-69,KOLDA,1,1,0
81-05-46-71,THIES,1,3,0
63-54-95-35,KOLDA,1,2,0
01-70-83-84,LOUGA,1,3,0
69-51-25-70,ZIGUINCHOR,1,1,0
82-44-87-84,KOLDA,1,4,0
08-35-78-40,KOLDA,1,2,0
98-76-99-95,THIES,1,1,0
66-02-07-22,KOLDA,1,3,0
03-93-44-12,THIES,2,0,1
75-48-62-02,LOUGA,1,2,0
20-63-26-90,KOLDA,1,1,0
45-27-90-01,ZIGUINCHOR,1,2,0
03-43-09-02,THIES,1,2,0
16-15-86-59,KOLDA,1,2,0
41-09-74-22,KOLDA,1,3,0
91-21-49-97,THIES,1,4,0
29-83-41-02,KOLDA,1,1,0
83-46-12-48,LOUGA,1,1,0
28-74-56-64,THIES,1,3,0
94-50-71-27,LOUGA,1,2,0
40-64-66-65,LOUGA,1,1,0
27-83-09-37,THIES,2,2,0
26-90-90-85,LOUGA,1,2,0
25-98-81-74,ZIGUINCHOR,1,1,0
63-84-04-84,LOUGA,1,1,0
33-85-17-85,LOUGA,1,2,0
98-07-85-26,THIES,1,3,0
92-84-84-18,TAMBACOUNDA,1,2,0
78-76-79-06,LOUGA,1,3,0
75-47-64-97,LOUGA,1,2,0
13-66-25-68,ZIGUINCHOR,1,4,0
52-32-32-90,KOLDA,1,1,0
42-22-30-58,LOUGA,1,2,0
99-92-80-55,THIES,1,2,0
65-82-21-35,KOLDA,1,3,0
19-17-57-38,KOLDA,1,0,0
81-88-70-50,TAMBACOUNDA,1,1,0
43-10-31-22,THIES,1,1,0
05-22-07-67,LOUGA,1,2,0
80-69-84-75,LOUGA,1,2,0
35-83-24-87,THIES,1,5,0
00-12-87-35,TAMBACOUNDA,1,2,0
98-49-75-73,KOLDA,1,3,0
87-04-01-48,THIES,2,0,0
82-19-59-07,KOLDA,1,2,0
81-46-81-24,LOUGA,1,1,0
22-75-07-73,KOLDA,1,2,0
61-97-98-59,ZIGUINCHOR,1,2,0
59-98-54-55,TAMBACOUNDA,1,2,0
85-18-99-23,KOLDA,1,2,0
73-56-63-28,ZIGUINCHOR,1,2,0
13-05-36-81,LOUGA,1,3,0
03-80-87-90,ZIGUINCHOR,1,1,0
26-95-96-18,KOLDA,1,2,0
29-89-65-16,KAFFRINE,1,0,0
22-38-39-03,LOUGA,1,0,0
42-34-78-97,KOLDA,1,0,0
30-94-85-02,TAMBACOUNDA,1,1,0
50-81-66-48,ZIGUINCHOR,1,1,0
45-90-42-39,KOLDA,1,1,0
70-16-66-58,KOLDA,1,3,0
75-27-53-67,KOLDA,1,2,0
99-28-39-30,TAMBACOUNDA,1,1,0
76-96-54-36,KAFFRINE,1,3,0
27-21-43-16,KOLDA,2,3,0
53-23-28-27,ZIGUINCHOR,1,2,0
99-66-03-87,ZIGUINCHOR,1,2,0
09-14-29-39,KOLDA,1,1,0
22-33-39-35,KAFFRINE,1,2,0
24-00-40-35,KOLDA,1,2,0
46-08-78-37,ZIGUINCHOR,1,4,0
21-07-67-56,TAMBACOUNDA,1,2,0
53-28-63-87,THIES,2,4,0
84-73-40-54,SEDHIOU,1,3,0
04-64-48-01,TAMBACOUNDA,1,1,0
73-83-53-03,KOLDA,2,6,0
63-02-44-65,ZIGUINCHOR,1,4,0
96-43-50-78,ZIGUINCHOR,1,4,0
40-21-96-37,ZIGUINCHOR,1,2,0
09-43-89-57,LOUGA,1,2,0
24-51-98-47,TAMBACOUNDA,1,2,0
01-85-29-39,TAMBACOUNDA,1,1,0
20-16-33-92,ZIGUINCHOR,1,2,0
37-29-33-36,ZIGUINCHOR,1,6,0
09-94-99-51,ZIGUINCHOR,1,0,0
89-43-93-60,ZIGUINCHOR,1,2,0
78-05-60-53,ZIGUINCHOR,1,0,0
72-55-61-69,KAFFRINE,NA,1,0
79-86-57-68,LOUGA,1,4,0
30-82-25-73,ZIGUINCHOR,1,1,0
57-89-53-05,THIES,2,1,0
09-57-14-31,LOUGA,1,2,0
44-53-98-42,THIES,1,5,0
64-00-35-90,LOUGA,1,2,0
02-17-82-76,THIES,1,3,0
47-05-58-37,ZIGUINCHOR,1,2,0
38-64-68-86,ZIGUINCHOR,1,2,0
62-95-86-18,ZIGUINCHOR,1,1,0
97-91-30-58,TAMBACOUNDA,1,2,0
60-31-04-11,ZIGUINCHOR,1,2,0
67-27-94-57,ZIGUINCHOR,1,1,0
41-02-43-57,KOLDA,1,2,0
94-51-44-20,ZIGUINCHOR,1,2,0
28-57-42-53,ZIGUINCHOR,1,1,0
55-71-13-02,TAMBACOUNDA,1,1,0
75-28-45-13,KAFFRINE,1,1,0
74-25-26-31,TAMBACOUNDA,1,1,0
59-63-55-09,KAFFRINE,1,1,0
78-39-13-64,TAMBACOUNDA,1,1,0
55-84-35-37,KOLDA,1,3,0
92-63-77-72,TAMBACOUNDA,1,1,0
88-94-11-68,ZIGUINCHOR,1,2,0
27-07-11-00,TAMBACOUNDA,1,3,0
84-42-97-16,TAMBACOUNDA,1,3,0
28-45-11-73,LOUGA,1,2,0
