interview__key,numero_ind,sexe,age,lien_cm,statut_matri,scolarise,niveau_etudes,occupation,age_enfant,poids_enfant,taille_enfant,pb_enfant,oedeme_enfant,enfant_cible,malnutrition,region,departement,milieu
73-15-93-84,9,1,3,3,4,NA,NA,NA,0,"13,00","088,30",NA,2,FALSE,NA,KOLDA,KOLDA,1
38-20-61-24,1,1,70,1,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
38-20-61-24,2,2,50,2,2,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
38-20-61-24,3,2,24,3,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
38-20-61-24,4,2,15,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
38-20-61-24,5,2,13,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
38-20-61-24,6,1,10,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,1,1,62,1,2,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,2,2,48,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,3,2,46,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,4,2,40,2,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,5,1,7,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,6,2,4,3,4,NA,NA,NA,0,"09,50","075,90",NA,2,FALSE,NA,KOLDA,KOLDA,1
52-29-42-12,7,1,2,3,4,NA,NA,NA,0,"10,56","080,20",NA,2,FALSE,NA,KOLDA,KOLDA,1
51-84-90-01,1,1,32,1,1,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
51-84-90-01,2,2,25,2,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
51-84-90-01,3,1,10,3,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
51-84-90-01,4,1,8,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
51-84-90-01,5,2,55,4,3,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
51-84-90-01,6,2,16,11,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
68-28-76-00,1,1,59,1,2,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,2,2,50,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,3,2,9,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,5,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,6,2,45,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,7,2,7,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,8,2,9,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,9,1,6,10,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,10,2,4,3,4,NA,NA,NA,0,"11,30","087,50",NA,2,FALSE,NA,KOLDA,MEDINA YORO,1
68-28-76-00,11,1,3,10,4,NA,NA,NA,0,"11,60","087,20",NA,2,FALSE,NA,KOLDA,MEDINA YORO,1
89-96-72-51,1,1,70,1,1,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
89-96-72-51,2,2,50,2,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
89-96-72-51,3,2,28,3,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
89-96-72-51,4,1,11,3,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
89-96-72-51,5,2,24,9,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
89-96-72-51,6,2,3,10,4,NA,NA,NA,44,"11,60","093,80",NA,2,TRUE,0,LOUGA,KEBEMER,1
01-52-67-44,1,1,37,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,2,2,34,2,1,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,3,1,12,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,4,1,10,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,5,2,3,3,4,NA,NA,NA,41,"11,40","088,10",NA,2,TRUE,0,KAFFRINE,BIRKELANE,1
01-52-67-44,6,1,21,6,1,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,7,2,16,9,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,9,1,23,6,1,2,NA,4,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,10,2,17,9,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,11,1,15,6,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
01-52-67-44,13,1,17,10,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
99-76-96-32,1,1,54,1,1,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
99-76-96-32,2,2,40,2,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
99-76-96-32,3,2,24,3,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
99-76-96-32,4,2,87,4,3,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
99-76-96-32,5,2,61,5,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
