interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi
55-33-13-64,KOLDA,VELINGARA,1,2,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89-69-15-28,KOLDA,VELINGARA,1,1,4,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33-86-49-73,KOLDA,VELINGARA,1,2,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34-44-59-29,KOLDA,VELINGARA,1,2,7,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25-90-81-96,KOLDA,VELINGARA,1,4,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69-48-05-73,SEDHIOU,BOUNKILING,1,3,1,5,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
92-97-38-24,SEDHIOU,BOUNKILING,1,3,1,3,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
12-86-25-63,SEDHIOU,BOUNKILING,1,3,1,6,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
09-50-21-61,SAINT LOUIS,PODOR,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
34-64-32-46,SEDHIOU,BOUNKILING,1,3,1,8,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
