interview__key,choc_id
57-33-98-39,13
38-79-16-96,13
42-17-29-86,8
78-56-51-12,6
78-56-51-12,13
15-59-60-78,13
66-18-61-46,6
66-18-61-46,13
38-38-35-92,6
38-38-35-92,13
45-95-02-23,13
66-15-14-01,6
66-15-14-01,13
97-52-09-17,6
05-28-32-51,6
05-28-32-51,13
18-92-34-46,13
61-14-00-84,8
86-37-36-84,6
86-37-36-84,13
90-46-59-00,8
55-19-99-59,9
55-19-99-59,13
89-01-63-22,6
89-01-63-22,13
29-41-37-31,13
84-70-05-67,6
84-70-05-67,10
84-70-05-67,12
94-27-05-68,6
94-27-05-68,9
94-27-05-68,13
89-73-11-65,6
89-73-11-65,13
20-32-42-76,13
57-04-98-86,12
14-29-38-12,1
14-29-38-12,6
14-29-38-12,11
88-74-49-45,10
77-41-91-78,13
78-78-69-73,9
78-78-69-73,13
56-52-91-74,9
91-80-04-04,9
80-40-58-45,9
27-61-18-72,6
27-61-18-72,13
98-06-76-10,4
70-05-97-71,6
70-05-97-71,13
40-20-46-00,9
40-20-46-00,13
61-74-85-18,1
02-63-05-28,4
02-63-05-28,9
24-96-29-97,9
16-73-12-33,6
16-73-12-33,13
24-34-71-88,8
24-34-71-88,9
15-57-36-96,6
96-47-61-40,8
90-73-95-96,6
90-73-95-96,13
84-97-22-29,11
69-21-19-57,6
69-21-19-57,13
50-98-26-83,6
50-98-26-83,10
88-03-04-36,6
88-03-04-36,8
88-03-04-36,10
15-47-97-72,9
73-20-12-62,5
61-31-49-23,6
61-31-49-23,9
44-97-30-19,6
44-97-30-19,13
66-65-61-82,7
20-23-38-39,9
20-23-38-39,13
40-56-22-96,1
52-47-31-27,13
63-10-29-72,11
48-71-97-02,1
48-71-97-02,6
48-71-97-02,10
81-02-81-92,9
20-69-45-75,10
52-17-30-06,11
43-06-06-67,7
43-06-06-67,10
49-74-63-52,8
70-42-85-99,1
70-42-85-99,9
53-68-71-53,6
53-68-71-53,13
40-29-79-86,9
40-29-79-86,13
41-93-74-86,13
60-83-01-78,6
60-83-01-78,13
42-52-91-86,4
32-53-24-48,5
32-53-24-48,8
39-92-64-94,13
60-15-12-28,4
61-74-39-29,6
61-74-39-29,8
61-74-39-29,10
86-04-13-56,13
38-34-11-21,13
49-79-21-15,1
49-79-21-15,6
49-79-21-15,10
52-21-00-56,8
22-23-10-45,8
66-52-57-96,6
66-52-57-96,8
66-52-57-96,10
82-80-23-22,4
03-58-59-32,5
41-17-30-54,2
29-56-48-95,8
46-77-10-09,10
84-47-71-74,4
82-02-03-49,6
82-02-03-49,10
82-02-03-49,11
93-15-07-77,2
93-15-07-77,7
50-75-72-15,8
72-63-67-00,10
59-21-89-83,11
77-13-53-99,10
20-63-93-96,6
91-58-19-47,6
91-58-19-47,13
63-24-82-40,6
63-24-82-40,8
63-24-82-40,10
34-43-15-13,6
34-43-15-13,8
34-43-15-13,10
91-18-82-55,1
91-18-82-55,6
91-18-82-55,9
03-51-45-22,6
03-51-45-22,13
41-41-04-95,9
22-70-81-38,4
22-70-81-38,6
22-70-81-38,12
61-60-66-52,6
61-60-66-52,10
61-60-66-52,13
94-31-13-07,5
94-31-13-07,10
94-31-13-07,11
20-63-53-83,6
20-63-53-83,9
20-63-53-83,13
13-42-90-03,6
13-42-90-03,13
85-49-08-32,6
85-49-08-32,9
24-23-67-46,10
24-23-67-46,13
22-91-88-36,6
22-91-88-36,13
78-87-84-50,10
66-01-65-49,9
36-67-63-00,1
36-67-63-00,6
36-67-63-00,8
64-38-11-96,8
80-95-16-37,6
80-95-16-37,13
56-16-10-73,1
87-16-81-87,1
